RegionName,State,Metro,CountyName,2018-12
New York,NY,New York-Newark-Jersey City,Queens County,2295
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2350
Chicago,IL,Chicago-Naperville-Elgin,Cook County,1635
Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,1265
San Antonio,TX,San Antonio-New Braunfels,Bexar County,945
Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,1550
Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,1025
Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,1005
San Diego,CA,San Diego-Carlsbad,San Diego County,2030
Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,1345
San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2495
Austin,TX,Austin-Round Rock,Travis County,1229
Jacksonville,FL,Jacksonville,Duval County,1217.5
San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,3422
Indianapolis,IN,Indianapolis-Carmel-Anderson,Marion County,874
Charlotte,NC,Charlotte-Concord-Gastonia,Mecklenburg County,1331
Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,1352.5
Columbus,OH,Columbus,Franklin County,850
Tucson,AZ,Tucson,Pima County,630
Louisville,KY,Louisville/Jefferson County,Jefferson County,850
El Paso,TX,El Paso,El Paso County,725
Orlando,FL,Orlando-Kissimmee-Sanford,Orange County,1320
Denver,CO,Denver-Aurora-Lakewood,Denver County,1579
Seattle,WA,Seattle-Tacoma-Bellevue,King County,2050
Memphis,TN,Memphis,Shelby County,765
Boston,MA,Boston-Cambridge-Newton,Suffolk County,2314.5
Washington,DC,Washington-Arlington-Alexandria,District of Columbia,2292
Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,1485
Portland,OR,Portland-Vancouver-Hillsboro,Multnomah County,1568
Sacramento,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,1300
Baltimore,MD,Baltimore-Columbia-Towson,Baltimore City,1399
Milwaukee,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,825
Fresno,CA,Fresno,Fresno County,765
Omaha,NE,Omaha-Council Bluffs,Douglas County,793
Albuquerque,NM,Albuquerque,Bernalillo County,764
Oklahoma City,OK,Oklahoma City,Oklahoma County,750
Raleigh,NC,Raleigh,Wake County,1095.5
Mesa,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,906.5
Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,1620
Kansas City,MO,Kansas City,Jackson County,972.5
Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1595
Colorado Springs,CO,Colorado Springs,El Paso County,1187
Virginia Beach,VA,Virginia Beach-Norfolk-Newport News,Virginia Beach City,1110
Miami,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1995
Oakland,CA,San Francisco-Oakland-Hayward,Alameda County,2997.5
Tulsa,OK,Tulsa,Tulsa County,565
Minneapolis,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,1495
Honolulu,HI,Urban Honolulu,Honolulu County,1700
New Orleans,LA,New Orleans-Metairie,Orleans Parish,1250
Arlington,TX,Dallas-Fort Worth-Arlington,Tarrant County,925
Baton Rouge,LA,Baton Rouge,East Baton Rouge Parish,985
Tampa,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,1477
Aurora,CO,Denver-Aurora-Lakewood,Arapahoe County,1235
Riverside,CA,Riverside-San Bernardino-Ontario,Riverside County,1475
Bakersfield,CA,Bakersfield,Kern County,725
Pittsburgh,PA,Pittsburgh,Allegheny County,1060
Cincinnati,OH,Cincinnati,Hamilton County,795
Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange County,2077
Santa Ana,CA,Los Angeles-Long Beach-Anaheim,Orange County,1710
Columbia,SC,Columbia,Richland County,886
Islip,NY,New York-Newark-Jersey City,Suffolk County,1767.5
Marietta,GA,Atlanta-Sandy Springs-Roswell,Cobb County,999.5
Corpus Christi,TX,Corpus Christi,Nueces County,952
Saint Louis,MO,St. Louis,Saint Louis City,825
Lexington,KY,Lexington-Fayette,Fayette County,807
Fort Wayne,IN,Fort Wayne,Allen County,525
Greensboro,NC,Greensboro-High Point,Guilford County,745
Vancouver,WA,Portland-Vancouver-Hillsboro,Clark County,1181.5
Silver Spring,MD,Washington-Arlington-Alexandria,Montgomery County,1659
Anchorage,AK,Anchorage,Anchorage Borough,900
Saint Paul,MN,Minneapolis-St. Paul-Bloomington,Ramsey County,1180
Naples,FL,Naples-Immokalee-Marco Island,Collier County,1508
Durham,NC,Durham-Chapel Hill,Durham County,1285
Stockton,CA,Stockton-Lodi,San Joaquin County,1092.5
Plano,TX,Dallas-Fort Worth-Arlington,Collin County,1183
Newark,NJ,New York-Newark-Jersey City,Essex County,1250
Henderson,NV,Las Vegas-Henderson-Paradise,Clark County,1098.5
Lincoln,NE,Lincoln,Lancaster County,827
Modesto,CA,Modesto,Stanislaus County,1075
Chandler,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,1104.5
Lubbock,TX,Lubbock,Lubbock County,650
Jersey City,NJ,New York-Newark-Jersey City,Hudson County,2350
Buffalo,NY,Buffalo-Cheektowaga-Niagara Falls,Erie County,900
Mobile,AL,Mobile,Mobile County,640
Hialeah,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1200
San Bernardino,CA,Riverside-San Bernardino-Ontario,San Bernardino County,875
Chula Vista,CA,San Diego-Carlsbad,San Diego County,1689
Saint Petersburg,FL,Tampa-St. Petersburg-Clearwater,Pinellas County,1145
Pensacola,FL,Pensacola-Ferry Pass-Brent,Escambia County,830
Lawrenceville,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,1073.5
Winston-Salem,NC,Winston-Salem,Forsyth County,659.5
Madison,WI,Madison,Dane County,1050
Norfolk,VA,Virginia Beach-Norfolk-Newport News,Norfolk City,1189
Glendale,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,910
Scottsdale,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,1426
Fayetteville,NC,Fayetteville,Cumberland County,648
Boise,ID,Boise City,Ada County,995
Irvine,CA,Los Angeles-Long Beach-Anaheim,Orange County,2085
Laredo,TX,Laredo,Webb County,860
Sarasota,FL,North Port-Sarasota-Bradenton,Sarasota County,1428
Chesapeake,VA,Virginia Beach-Norfolk-Newport News,Chesapeake City,1140
Fort Myers,FL,Cape Coral-Fort Myers,Lee County,962.5
Garland,TX,Dallas-Fort Worth-Arlington,Dallas County,1159
Gilbert,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,1123
North Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,995
Fremont,CA,San Francisco-Oakland-Hayward,Alameda County,2275
Santa Clarita,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1785
Irving,TX,Dallas-Fort Worth-Arlington,Dallas County,1270.5
Arlington,VA,Washington-Arlington-Alexandria,Arlington County,1995
Springfield,MO,Springfield,Greene County,535
Birmingham,AL,Birmingham-Hoover,Jefferson County,900
Santa Rosa,CA,Santa Rosa,Sonoma County,1800
Greenville,SC,Greenville-Anderson-Mauldin,Greenville County,1000
