state_id,county_name,county_fips,metro_name
SC,Abbeville,45001,
LA,Acadia,22001,
VA,Accomack,51001,
ID,Ada,16001,
IA,Adair,19001,
KY,Adair,21001,
MO,Adair,29001,
OK,Adair,40001,
CO,Adams,8001,Denver
IA,Adams,19003,
ID,Adams,16003,
IL,Adams,17001,
IN,Adams,18001,
MS,Adams,28001,
ND,Adams,38001,
NE,Adams,31001,
OH,Adams,39001,
PA,Adams,42001,
WA,Adams,53001,
WI,Adams,55001,
VT,Addison,50001,
PR,Adjuntas,72001,
PR,Aguada,72003,
PR,Aguadilla,72005,
PR,Aguas Buenas,72007,
PR,Aibonito,72009,
SC,Aiken,45003,
MN,Aitkin,27001,
FL,Alachua,12001,
NC,Alamance,37001,
CA,Alameda,6001,SF Bay Area
CO,Alamosa,8003,
NY,Albany,36001,Albany
WY,Albany,56001,
VA,Albemarle,51003,
MI,Alcona,26001,
MS,Alcorn,28003,
AK,Aleutians East,2013,
AK,Aleutians West,2016,
IL,Alexander,17003,
NC,Alexander,37003,
VA,Alexandria (city),51510,Washington DC
OK,Alfalfa,40003,
MI,Alger,26003,
IA,Allamakee,19005,
MI,Allegan,26005,
MD,Allegany,24001,
NY,Allegany,36003,
VA,Alleghany,51005,
NC,Alleghany,37005,
PA,Allegheny,42003,Pittsburgh
IN,Allen,18003,
KS,Allen,20001,
KY,Allen,21003,
LA,Allen,22003,
OH,Allen,39003,
SC,Allendale,45005,
MI,Alpena,26007,
CA,Alpine,6003,
CA,Amador,6005,
VA,Amelia,51007,
VA,Amherst,51009,
MS,Amite,28005,
PR,Anasco,72011,
AK,Anchorage,2020,Anchorage
KS,Anderson,20003,
KY,Anderson,21005,
SC,Anderson,45007,
TN,Anderson,47001,
TX,Anderson,48001,
MO,Andrew,29003,
TX,Andrews,48003,
ME,Androscoggin,23001,
TX,Angelina,48005,
MD,Anne Arundel,24003,Baltimore
MN,Anoka,27003,Minneapolis-St.Paul
NC,Anson,37007,
NE,Antelope,31003,
MI,Antrim,26009,
AZ,Apache,4001,
IA,Appanoose,19007,
GA,Appling,13001,
VA,Appomattox,51011,
TX,Aransas,48007,
CO,Arapahoe,8005,Denver
TX,Archer,48009,
CO,Archuleta,8007,
PR,Arecibo,72013,
MI,Arenac,26011,
AR,Arkansas,5001,
VA,Arlington,51013,Washington DC
PA,Armstrong,42005,
TX,Armstrong,48011,
ME,Aroostook,23003,
PR,Arroyo,72015,
NE,Arthur,31005,
LA,Ascension,22005,
NC,Ashe,37009,
OH,Ashland,39005,
WI,Ashland,55003,
AR,Ashley,5003,
OH,Ashtabula,39007,
WA,Asotin,53003,
LA,Assumption,22007,
TX,Atascosa,48013,
KS,Atchison,20005,
MO,Atchison,29005,
OH,Athens,39009,
GA,Atkinson,13003,
NJ,Atlantic,34001,
OK,Atoka,40005,
MS,Attala,28007,
MO,Audrain,29007,
IA,Audubon,19009,
OH,Auglaize,39011,
VA,Augusta,51015,
SD,Aurora,46003,
TX,Austin,48015,
AL,Autauga,1001,
NC,Avery,37011,
LA,Avoyelles,22009,
CO,Baca,8009,
GA,Bacon,13005,
TX,Bailey,48017,
FL,Baker,12003,
GA,Baker,13007,
OR,Baker,41001,
AL,Baldwin,1003,
GA,Baldwin,13009,
KY,Ballard,21007,
MD,Baltimore,24005,Baltimore
MD,Baltimore (city),24510,Baltimore
SC,Bamberg,45009,
TX,Bandera,48019,
GA,Banks,13011,
NE,Banner,31007,
ID,Bannock,16005,
MI,Baraga,26013,
KS,Barber,20007,
AL,Barbour,1005,
WV,Barbour,54001,
PR,Barceloneta,72017,
ND,Barnes,38003,
MA,Barnstable,25001,
SC,Barnwell,45011,
PR,Barranquitas,72019,
KY,Barren,21009,
WI,Barron,55005,
GA,Barrow,13013,
MI,Barry,26015,
MO,Barry,29009,
IN,Bartholomew,18005,
KS,Barton,20009,
MO,Barton,29011,
GA,Bartow,13015,
TX,Bastrop,48021,
MO,Bates,29013,
KY,Bath,21011,
VA,Bath,51017,
AR,Baxter,5005,
FL,Bay,12005,
MI,Bay,26017,
