city_name,state_id,county_name,county_fips,lat,lng
DUNSEITH,ND,Rolette,38079,48.8130569,-100.0609678
MYLO,ND,Rolette,38079,48.6352785,-99.6187555
ANTLER,ND,Bottineau,38009,48.9708532,-101.2823803
BOTTINEAU,ND,Bottineau,38009,48.8272301,-100.4456984
GARDENA,ND,Bottineau,38009,48.700837,-100.4976393
KRAMER,ND,Bottineau,38009,48.690565,-100.7068093
LANDA,ND,Bottineau,38009,48.8966855,-100.9118208
LANSFORD,ND,Bottineau,38009,48.628909,-101.3757158
MAXBASS,ND,Bottineau,38009,48.7216878,-101.1415464
NEWBURG,ND,Bottineau,38009,48.7150177,-100.9129293
OVERLY,ND,Bottineau,38009,48.6819437,-100.150136
CANTON CITY,ND,Pembina,38067,48.6878745,-97.6676696
CRYSTAL,ND,Pembina,38067,48.5969371,-97.6695334
DRAYTON,ND,Pembina,38067,48.5710958,-97.1778485
HAMILTON,ND,Pembina,38067,48.8086008,-97.4528587
MOUNTAIN,ND,Pembina,38067,48.6877719,-97.8650966
NECHE,ND,Pembina,38067,48.9861027,-97.5548
PEMBINA,ND,Pembina,38067,48.9663766,-97.2436761
CANDO,ND,Towner,38095,48.4866682,-99.2098593
EGELAND,ND,Towner,38095,48.6263945,-99.0973586
HANSBORO,ND,Towner,38095,48.9500078,-99.3829145
PERTH,ND,Towner,38095,48.7163932,-99.4579209
ROCKLAKE,ND,Towner,38095,48.7901657,-99.2460844
ALSEN,ND,Cavalier,38019,48.6305626,-98.7048488
CALIO,ND,Cavalier,38019,48.6311182,-98.9329109
CALVIN,ND,Cavalier,38019,48.8525068,-98.9354078
HANNAH,ND,Cavalier,38019,48.9716708,-98.6917884
LANGDON,ND,Cavalier,38019,48.7600007,-98.3681728
LOMA,ND,Cavalier,38019,48.6302832,-98.5328984
MILTON,ND,Cavalier,38019,48.6263838,-98.0426017
MUNICH,ND,Cavalier,38019,48.669174,-98.8326307
NEKOMA,ND,Cavalier,38019,48.5772245,-98.370392
OSNABROCK,ND,Cavalier,38019,48.6688857,-98.1512186
AMBROSE,ND,Divide,38023,48.9539222,-103.4826921
CROSBY,ND,Divide,38023,48.9141998,-103.2949095
FORTUNA,ND,Divide,38023,48.9100315,-103.7793697
NOONAN,ND,Divide,38023,48.8889194,-103.0087936
BOWBELLS,ND,Burke,38013,48.8030833,-102.2460008
FLAXTON,ND,Burke,38013,48.8986389,-102.3923913
LIGNITE,ND,Burke,38013,48.8775322,-102.5629488
PORTAL,ND,Burke,38013,48.9958637,-102.5496127
POWERS LAKE,ND,Burke,38013,48.5628042,-102.6479573
GLENBURN,ND,Renville,38075,48.5130744,-101.2207138
GRANO,ND,Renville,38075,48.6150203,-101.5865506
LORAINE,ND,Renville,38075,48.8655766,-101.5679389
MOHALL,ND,Renville,38075,48.7633556,-101.5132169
BURLINGTON,ND,Ward,38101,48.2752881,-101.4287751
CARPIO,ND,Ward,38101,48.4425171,-101.7146064
DES LACS,ND,Ward,38101,48.257788,-101.5634984
DONNYBROOK,ND,Ward,38101,48.509465,-101.8851618
DOUGLAS,ND,Ward,38101,47.8572261,-101.5029412
KENMARE,ND,Ward,38101,48.6747476,-102.0826636
MAKOTI,ND,Ward,38101,47.9611214,-101.8046105
MINOT,ND,Ward,38101,48.2325095,-101.2962732
ALAMO,ND,Williams,38105,48.5816949,-103.4699122
EPPING,ND,Williams,38105,48.2791887,-103.3571326
GRENORA,ND,Williams,38105,48.6183606,-103.9379866
RAY,ND,Williams,38105,48.3444663,-103.1651845
ANAMOOSE,ND,McHenry,38049,47.8825008,-100.241246
UPHAM,ND,McHenry,38049,48.5816728,-100.7281937
VELVA,ND,McHenry,38049,48.0561196,-100.929317
VOLTAIRE,ND,McHenry,38049,48.0205632,-100.8415372
DEERING,ND,McHenry,38049,48.3955721,-101.0518201
DRAKE,ND,McHenry,38049,47.9241692,-100.3723605
GRANVILLE,ND,McHenry,38049,48.2677874,-100.8426438
KARLSRUHE,ND,McHenry,38049,48.0900056,-100.6204201
KIEF,ND,McHenry,38049,47.8575023,-100.5115274
NEW TOWN,ND,Mountrail,38061,47.9808483,-102.4901804
PALERMO,ND,Mountrail,38061,48.3397413,-102.2290557
PARSHALL,ND,Mountrail,38061,47.9533459,-102.1348915
PLAZA,ND,Mountrail,38061,48.0258461,-101.9610003
BROCKET,ND,Ramsey,38071,48.2130558,-98.3570499
CRARY,ND,Ramsey,38071,48.0708347,-98.6384434
EDMORE,ND,Ramsey,38071,48.4133374,-98.4542795
HAMPDEN,ND,Ramsey,38071,48.5402849,-98.6542903
LAWTON,ND,Ramsey,38071,48.3027789,-98.3692741
ARDOCH,ND,Walsh,38099,48.2072096,-97.3422986
EDINBURG,ND,Walsh,38099,48.4966607,-97.8620378
FAIRDALE,ND,Walsh,38099,48.4908325,-98.2312186
FORDVILLE,ND,Walsh,38099,48.2174934,-97.7906451
FOREST RIVER,ND,Walsh,38099,48.2152672,-97.4681352
GRAFTON,ND,Walsh,38099,48.4122108,-97.410634
HOOPLE,ND,Walsh,38099,48.5347143,-97.6348091
LANKIN,ND,Walsh,38099,48.311106,-97.9250945
MINTO,ND,Walsh,38099,48.2916547,-97.3714652
PARK RIVER,ND,Walsh,38099,48.3986043,-97.7411999
PISEK,ND,Walsh,38099,48.3108259,-97.7092537
BRINSMADE,ND,Benson,38005,48.1824994,-99.3240238
ESMOND,ND,Benson,38005,48.0358398,-99.7620743
KNOX,ND,Benson,38005,48.3402764,-99.690413
